subNum group counterBalancing date time trial block list task animacy alphabetical word preTimeFix preTimeWord RT resp acc 
1 1 1 20200122 145718 55 1 1 alphabetical inanimate non-alphabetical PIANO 516.519894 316.627674 0.161276 0 1
1 1 1 20200122 145718 56 1 1 alphabetical inanimate alphabetical BANGLE 516.516493 316.615925 62.228020 0 0
1 1 1 20200122 145718 57 1 1 alphabetical animate non-alphabetical RHUBARB 516.517730 316.585317 0.171479 1 0
1 1 1 20200122 145718 58 1 1 alphabetical inanimate non-alphabetical PLUG 516.501738 316.518843 144.938950 1 0
1 1 1 20200122 145718 59 1 1 alphabetical animate non-alphabetical PLUM 516.660571 316.530283 135.528780 0 1
1 1 1 20200122 145718 60 1 1 alphabetical animate alphabetical PARROT 516.630580 316.572022 0.244445 0 0
1 1 1 20200122 145718 61 1 1 alphabetical inanimate non-alphabetical LADLE 516.532289 316.387751 41.772432 1 0
1 1 1 20200122 145718 62 1 1 alphabetical inanimate non-alphabetical TOWER 516.423431 316.681780 137.679738 0 1
1 1 1 20200122 145718 63 1 1 alphabetical inanimate non-alphabetical ENCLAVE 516.496088 316.406496 182.353505 0 1
1 1 1 20200122 145718 64 1 1 alphabetical animate non-alphabetical MOOSE 516.565034 316.616384 0.246300 0 1
1 1 1 20200122 145718 65 1 1 alphabetical inanimate alphabetical DRILL 516.386947 316.672505 6.458942 1 1
1 1 1 20200122 145718 66 1 1 alphabetical inanimate alphabetical BRICK 516.462387 300.005287 300.981249 0 0
1 1 1 20200122 145718 67 1 1 alphabetical animate alphabetical KIDNEY 516.415779 316.636973 93.602880 0 0
1 1 1 20200122 145718 68 1 1 alphabetical inanimate non-alphabetical LOCK 516.429074 316.530901 12.766501 0 1
1 1 1 20200122 145718 69 1 1 alphabetical inanimate alphabetical COMPUTER 516.503817 316.683279 0.198996 0 0
1 1 1 20200122 145718 70 1 1 alphabetical animate alphabetical RABBIT 516.496899 316.522244 233.841189 0 0
1 1 1 20200122 145718 71 1 1 alphabetical animate non-alphabetical WOLF 516.504269 316.512826 30.017616 0 1
1 1 1 20200122 145718 72 1 1 alphabetical inanimate alphabetical BOOTH 516.320287 316.522553 0.187556 1 1
1 1 1 20200122 145718 73 2 3 living inanimate alphabetical COUPON 516.586677 300.017963 486.543953 0 1
1 1 1 20200122 145718 74 2 3 living inanimate alphabetical DENTURE 516.449211 316.550379 9.112006 0 1
1 1 1 20200122 145718 75 2 3 living animate non-alphabetical MOUSE 516.447431 316.548833 0.222184 0 0
1 1 1 20200122 145718 76 2 3 living animate alphabetical HAWK 516.525459 316.530592 3.808351 0 0
1 1 1 20200122 145718 77 2 3 living animate non-alphabetical KNEE 516.586677 316.473085 10.910809 0 0
1 1 1 20200122 145718 78 2 3 living animate alphabetical COBBLER 516.392706 316.607577 0.216928 0 0
1 1 1 20200122 145718 79 2 3 living animate alphabetical DAISY 516.374580 316.679925 78.941614 0 0
1 1 1 20200122 145718 80 2 3 living animate non-alphabetical PELICAN 516.572146 316.533993 107.834695 0 0
1 1 1 20200122 145718 81 2 3 living animate non-alphabetical STALLION 516.512437 316.459983 80.011258 0 0
1 1 1 20200122 145718 82 2 3 living animate alphabetical PLUMBER 516.470116 316.675597 149.316305 0 0
1 1 1 20200122 145718 83 2 3 living inanimate alphabetical METEOR 516.479083 316.573259 0.268561 1 0
1 1 1 20200122 145718 84 2 3 living animate non-alphabetical GLAND 516.505363 316.483287 55.385890 1 1
1 1 1 20200122 145718 85 2 3 living inanimate non-alphabetical SLIPPER 516.386638 316.739016 89.411650 1 0
1 1 1 20200122 145718 86 2 3 living inanimate non-alphabetical SYRINGE 517.519263 315.555958 22.733401 0 1
1 1 1 20200122 145718 87 2 3 living animate alphabetical KIPPER 516.464860 316.592118 54.356015 1 1
1 1 1 20200122 145718 88 2 3 living inanimate alphabetical DOCUMENT 516.536281 316.620872 4.279230 0 1
1 1 1 20200122 145718 89 2 3 living animate alphabetical LYNX 516.472624 316.491601 201.613579 0 0
1 1 1 20200122 145718 90 2 3 living animate non-alphabetical JUNGLE 516.395604 316.625201 135.743969 1 1
1 1 1 20200122 145718 91 2 3 living inanimate alphabetical ERASER 516.317691 316.726302 95.497528 0 1
1 1 1 20200122 145718 92 2 3 living inanimate alphabetical JAIL 516.532880 316.744544 36.120023 1 0
1 1 1 20200122 145718 93 2 3 living animate non-alphabetical NECK 516.672782 316.337202 26.026724 0 0
1 1 1 20200122 145718 94 2 3 living animate alphabetical FISH 516.525762 316.463816 0.562597 1 1
1 1 1 20200122 145718 95 2 3 living animate alphabetical OTTER 516.384165 316.722860 215.142047 1 1
1 1 1 20200122 145718 96 2 3 living inanimate alphabetical COIL 516.515875 316.620872 61.196599 0 1
1 1 1 20200122 145718 97 2 3 living animate alphabetical CRIMINAL 516.661111 316.461105 0.374378 1 1
1 1 1 20200122 145718 98 2 3 living inanimate alphabetical FROST 516.643603 316.454496 137.964145 1 0
1 1 1 20200122 145718 99 2 3 living inanimate alphabetical PASSPORT 516.437653 316.629220 32.615170 0 1
1 1 1 20200122 145718 100 2 3 living animate alphabetical COLT 516.350464 316.719809 100.928256 0 0
1 1 1 20200122 145718 101 2 3 living animate non-alphabetical TROUT 516.379527 316.520389 0.223112 1 1
1 1 1 20200122 145718 102 2 3 living inanimate non-alphabetical HARDWARE 516.693962 316.584114 0.132832 1 0
1 1 1 20200122 145718 103 2 3 living animate alphabetical EYEBALL 516.491450 316.513278 0.130049 1 1
1 1 1 20200122 145718 104 2 3 living animate non-alphabetical MACKEREL 516.530716 316.513587 60.596173 1 1
1 1 1 20200122 145718 105 2 3 living inanimate non-alphabetical VIOLIN 516.507527 316.500292 90.185216 1 0
1 1 1 20200122 145718 106 2 3 living animate alphabetical AUNT 516.487087 316.471229 0.150764 0 0
1 1 1 20200122 145718 107 2 3 living inanimate alphabetical POKER 516.600821 316.505395 0.229992 1 0
1 1 1 20200122 145718 108 2 3 living inanimate alphabetical CIRCUIT 516.662117 316.382804 121.741564 1 0
1 1 1 20200122 145718 109 2 3 living animate alphabetical FOAL 516.595643 316.602631 0.318648 1 1
1 1 1 20200122 145718 110 2 3 living animate alphabetical DOVE 516.577711 316.549761 206.360747 1 1
1 1 1 20200122 145718 111 2 3 living inanimate non-alphabetical EMERALD 516.724686 316.494611 155.910667 1 0
1 1 1 20200122 145718 112 2 3 living inanimate non-alphabetical PISTON 516.563370 299.786507 458.634490 1 0
1 1 1 20200122 145718 113 2 3 living animate non-alphabetical WAITER 515.974659 316.708988 7.336392 1 1
1 1 1 20200122 145718 114 2 3 living inanimate non-alphabetical GLOBE 516.572146 316.423616 44.917709 1 0
1 1 1 20200122 145718 115 2 3 living inanimate alphabetical GLIDER 516.602982 316.563677 0.448275 1 0
